criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No
entropy,19,4,2,0.9202238204785518,0.0,50.383,0
gini,20,7,4,0.9202028663308243,2.3411777401528144e-05,50.848,1
gini,16,19,6,0.9129144405826437,0.011826230759053676,54.719,2
gini,25,13,8,0.9201367225362432,0.0001445451325348092,57.071,3
entropy,19,15,9,0.9202066233464794,1.7852062356224047e-05,54.063,4
gini,18,28,8,0.9193559934909461,0.0008635867812267276,77.747,5
gini,22,27,8,0.9202231844257025,3.152870457111151e-07,57.543,6
gini,22,2,5,0.9198166632791558,0.0008027650275452643,49.797,7
entropy,20,16,8,0.9202227761333116,3.477417799190002e-07,51.661,8
gini,28,28,5,0.9202231849035784,3.150485924778119e-07,64.258,9
